Artist,Title
BROCKHAMPTON ,CHAIN ON
NAV ,Wanted You
Lady Gaga ,Angel Down
One Direction ,Olivia
The 1975 ,Somebody Else
KAYTRANADA ,Intimidated
Kendrick Lamar ,For Sale?  Interlude
ROSALÍA ,DESPECHÁ
Desiigner ,Panda
The Beatles ,A Hard Day's Night  Remastered 2009
DMX ,Slippin'
Fall Out Boy ,Fourth Of July
Billie Eilish ,WHEN I WAS OLDER  Music Inspired By The Film ROMA
Shawn Mendes ,Call My Friends
XXXTENTACION ,I don’t even speak spanish lol
Taylor Swift ,All Too Well
Jonathan Groff ,You'll Be Back
Travis Scott ,FRANCHISE
Internet Money ,Really Redd
Jon Bellion ,Guillotine
Lil Baby ,UDigg
Eslabon Armado ,LA PERRIE
Daya ,New
"Earth, Wind & Fire ",September
BTS ,Blue & Grey
Kehlani ,Nunya
ILLENIUM ,Wouldn’t Change A Thing
Morgan Wallen ,Whiskey’d My Way
Lorde ,Tennis Court
JAY,Z  Holy Grail
Khalid ,Intro
One Direction ,Story of My Life
The Black Keys ,Howlin' For You
XXXTENTACION ,STARING AT THE SKY
Frank Ocean ,Solo
Kiiara ,Intention
Kanye West ,I Wonder
Baby Keem ,bank account
Rick James ,Super Freak
DMX ,X Gon' Give It To Ya  Int'l Bonus track
Joey Bada$$ ,RING THE ALARM
Slipknot ,The Chapeltown Rag
Nipsey Hussle ,Young Nigga
A Tribe Called Quest ,Whateva Will Be
Hugh Jackman ,The Other Side
Future ,Ain't Coming Back
Justin Bieber ,Sorry  Latino Remix
Jon Bellion ,Crop Circles
Ed Sheeran ,Sing
Elvis Presley ,Blue Christmas
Rick Ross ,Turnpike Ike
David Bowie ,Ashes to Ashes
Terror Jr ,3 Strikes
The Chainsmokers ,High
J. Cole ,A Tale of 2 Citiez
XXXTENTACION ,YuNg BrAtZ
Logic ,Soul Food II
Juice WRLD ,Cigarettes
Kendrick Lamar ,Silent Hill
Rita Ora ,Body on Me
Jason Derulo ,Goodbye
DripReport ,Skechers
Taylor Swift ,You Belong With Me (Taylor’s Version)
Yung Anime ,Blueberry faygo
The Chainsmokers ,Young
"Tyler, The Creator ","Come On, Let's Go"
The Weeknd ,Dawn FM
Lost Kings ,First Love
YNW Melly ,223's
Bad Bunny ,La Santa
StaySolidRocky ,Party Girl (Remix)
Post Malone ,Allergic
Zach Bryan ,Quittin' Time
Beyoncé ,Pray You Catch Me
Ed Sheeran ,Eraser
Motörhead ,Ace Of Spades
Saweetie ,Closer
John Mayer ,Who You Love
Carlie Hanson ,Only One
Run The Jewels ,JU$T
Frank Sinatra ,The Christmas Waltz  Remastered
Kendrick Lamar ,BLOOD.
Cordae ,Chronicles
Cardi B ,She Bad
Sueco ,Loser
Lil Durk ,Still Trappin'
21 Savage ,Mr. Right Now
Future ,New Illuminati
Ariana Grande ,Be Alright
Jacquees ,Your Peace
Bobby Shmurda ,No Time For Sleep (Freestyle)
Lil Uzi Vert ,Pretty Mami
YG ,SWAG
Major Lazer ,Trigger
TOOL ,Forty Six & 2
Ski Mask The Slump God ,Burn The Hoods
Tyler Farr ,A Guy Walks Into a Bar
Anderson .Paak ,Anywhere
Future ,Drip on Me
Drake ,In The Bible
Future ,CUDDLE MY WRIST
Billie Eilish ,bury a friend
AlunaGeorge ,Not Above Love
The Weeknd ,Tell Your Friends
Trippie Redd ,Can You Rap Like Me  Pt. 2
Nas ,Cops Shot The Kid
Lil Uzi Vert ,POP
Florida Georgia Line ,Beer:30
Tame Impala ,One More Year
Frank Sinatra ,Silent Night  Remastered
GoldLink ,Days Like This
Rich The Kid ,That's Tuff
Sam Smith ,Latch  Acoustic
Ariana Grande ,fake smile
Adele ,Rumour Has It
Polo G ,Bad Man (Smooth Criminal)
John Prine ,In Spite of Ourselves
Hunter Hayes ,21
Lil Nas X ,DOLLA SIGN SLIME
Chance the Rapper ,Mixtape
Britney Spears ,...Baby One More Time
BROCKHAMPTON ,BOY BYE
The Weeknd ,Wicked Games
ZAYN ,Dusk Till Dawn
Jhené Aiko ,None Of Your Concern
Gunna ,RELENTLESS
Kygo ,Lost Without You
Kacey Musgraves ,there is a light
Lil Uzi Vert ,Yessirskiii
Loren Allred ,Never Enough
MØ ,Nights With You
Florence + The Machine ,Big God
Avicii ,Bad Reputation
ZAYN ,I Don’t Wanna Live Forever (Fifty Shades Darker)
Lil Xan ,Moonlight
Van Halen ,Panama  2015 Remaster
Lil Tecca ,Out Of Love
Quavo ,BUBBLE GUM
Maroon 5 ,Lost
George Michael ,Careless Whisper
Lil Yachty ,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)"
A$AP Rocky ,D.M.B.
Jason Mraz ,Love Someone
ZAYN ,There You Are
Eminem ,Killer
Nause ,Dynamite
blink,182  Happy Days
Rockwell ,Somebody's Watching Me
Lil Yachty ,Yacht Club
Logic ,No Pressure  intro
Lil Wayne ,Used 2
Lizzo ,Truth Hurts
Talking Heads ,Psycho Killer  2005 Remastered Version
Dantès ,So below
Ty Dolla $ign ,Temptations
Taylor Swift ,Maroon
One Direction ,You & I
Ed Sheeran ,Feels
Bad Bunny ,Yonaguni
Imagine Dragons ,Shots
Lady Gaga ,Always Remember Us This Way
Tory Lanez ,The Color Violet
BTS ,Respect
Rod Wave ,Rags2Riches 2
Morgan Wallen ,Tennessee Fan
Anne,Marie  Birthday
Michael Jackson ,Billie Jean
Lil Dicky ,Earth
Rich Brian ,Occupied
Bobby McFerrin ,Don't Worry Be Happy
Baby Keem ,durag activity
Logic ,Cocaine
Harry Styles ,Late Night Talking
Twenty One Pilots ,Heathens
A Boogie Wit da Hoodie ,Streets Don't Love You
Marshmello ,Back In Time
Meek Mill ,Cold Hearted
Madison Beer ,Home With You
Wes Walker ,Jordan Belfort
Rob $tone ,Chill Bill REMIX
Queen ,We Will Rock You  Remastered
Martin Solveig ,Intoxicated
Joey Bada$$ ,The Baddest
Chris Brown ,Psychic
A Boogie Wit da Hoodie ,My Shit
Normani ,Wild Side
Matoma ,Old Thing Back
Roddy Ricch ,Out Tha Mud
Dierks Bentley ,Drunk On A Plane
Bad Bunny ,Después de la Playa
Taylor Swift ,Wildest Dreams (Taylor's Version)
Kacey Musgraves ,what doesn’t kill me
XXXTENTACION ,SAD!
Tim Berg ,Seek Bromance  Avicii Vocal Edit
Us The Duo ,Shake It Off
Gorillaz ,Charger
Ella Fitzgerald ,Let It Snow! Let It Snow! Let It Snow!
Gorillaz ,Aries
A$AP Ferg ,DoeActive
Troy Ave ,Doo Doo
Billie Eilish ,come out and play
Young Thug ,Floyd Mayweather
Trippie Redd ,"Save Me, Please"
Dreamville ,Sacrifices
Lunay ,Soltera (Remix)
Cardi B ,WAP
Gunna ,livin wild
Drake ,Blue Tint
Meek Mill ,Stay Woke
Janelle Monáe ,Make Me Feel
Beyoncé ,Halo
Lewis Capaldi ,Bruises
Drake ,Can I
The 7 Dimensions ,Faygo
The Weeknd ,Starry Eyes
Twenty One Pilots ,Polarize
Social House ,Magic In The Hamptons
$uicideboy$ ,Ashes of Luxury
Eagles ,Take It Easy  2013 Remaster
Shakira ,Clandestino
DaBaby ,SOCKS
Aminé ,BLACKJACK
Playboi Carti ,Foreign
Jhay Cortez ,Como Se Siente  Remix
Shawn Mendes ,Like To Be You feat. Julia Michaels
Ariana Grande ,someone like u  interlude
Ab,Soul  Bloody Waters
Lana Del Rey ,Summertime Sadness
Bad Bunny ,Un Verano Sin Ti
Joey Bada$$ ,No Explanation
Martin Garrix ,Don't Look Down
Post Malone ,No Option
The Weeknd ,King Of The Fall
Ludacris ,S.O.T.L. (Silence of the Lambs)
Kanye West ,I Thought About Killing You
Benjamin Francis Leftwich ,Shine  Kygo Remix
Migos ,Roadrunner
Childish Gambino ,19.10
YG ,Stop Snitchin
DaBaby ,SHUT UP
Kygo ,Woke Up in Love
Bad Bunny ,Enséñame a Bailar
88rising ,Midsummer Madness
Trippie Redd ,Moonlight
Machine Gun Kelly ,my ex's best friend
blackbear ,up in this
Purity Ring ,bodyache
Linkin Park ,What I've Done
Harry Styles ,Carolina
Linkin Park ,Talking to Myself
Lil Durk ,Shootout @ My Crib
Bo Burnham ,Unpaid Intern
Nipsey Hussle ,Last Time That I Checc'd
Lil Uzi Vert ,Leaders
Tinashe ,Pretend
Taylor Swift ,Tell Me Why (Taylor’s Version)
Young Thug ,Gang Up
Bad Bunny ,Solo de Mi
Jeremy Zucker ,somebody loves you
Joyner Lucas ,Isis
Jason Derulo ,Try Me
Jessie J ,Sweet Talker
YoungBoy Never Broke Again ,Right Foot Creep
Jennifer Lopez ,Booty
Eminem ,Leaving Heaven
Calvin Harris ,Outside
Logic ,DadBod
Lil Baby ,Consistent
$uicideboy$ ,"...And to Those I Love, Thanks for Sticking Around"
Destiny's Child ,8 Days of Christmas  Live
Ivan Cornejo ,Está Dañado
42 Dugg ,Maybach
Joji ,CAN'T GET OVER YOU
j,hope  Pandora's Box
Drake ,Love All
Lil Tjay ,Hood Rich
Young Thug ,Drippin'
Russ ,Me You
Kyle Dixon & Michael Stein ,Stranger Things
Juice WRLD ,Syphilis
Miley Cyrus ,Bad Karma
OneRepublic ,Lift Me Up  Michael Brun Remix
Ciara ,"One, Two Step"
Kane Brown ,Worship You
Shaggy ,I Need Your Love
BØRNS ,"10,000 Emerald Pools"
Drake ,Don’t Matter To Me
Ariana Grande ,Stuck with U
Luke Combs ,"1, 2 Many"
A Boogie Wit da Hoodie ,Girls Go Down
Ozuna ,Baila Baila Baila
Chris Brown ,Grass Ain't Greener
Chris Brown ,Go Crazy (Remix)
J Balvin ,Blanco
The Lumineers ,ROLLERCOASTER
Rex Orange County ,KEEP IT UP
Juice WRLD ,Demonz
Don Toliver ,Get Throwed
Tate McRae ,what would you do?
blackbear ,queen of broken hearts
The Beatles ,Help!  Remastered 2009
Cheat Codes ,Adventure
Baby Keem ,scapegoats
Tyga ,Splash
Justin Bieber ,Peaches
Vance Joy ,Georgia
Olivia Rodrigo ,favorite crime
Pentatonix ,White Christmas
Joji ,MODUS
Ugly God ,Stop Smoking Black & Milds
Labrinth ,I'm Tired
Drake ,Jorja Interlude
Young Stoner Life ,Solid
Chlöe ,Treat Me
Mumford & Sons ,Beloved
Drake ,Sandra’s Rose
Trippie Redd ,RMP
Marshmello ,Here With Me
Drake ,Big Rings
Bazzi ,No Way!
The Chainsmokers ,My Type
Vicente Fernández ,Aca Entre Nos
KJoke ,Yeah I Made It
Drake ,After Dark
Kanye West ,Clique
ZAYN ,TiO
Elijah Blake ,I Just Wanna...
Travis Scott ,STARGAZING
Vince Guaraldi ,Skating
Ben Howard ,Only Love
The Weeknd ,The Hills  Remix
Luke Bryan ,Games
$uicideboy$ ,Fucking Your Culture
Drake ,Faithful
Rae Sremmurd ,Bedtime Stories
Quavo ,Nothing Changed
ZAYN ,A Whole New World (End Title)
Baka Not Nice ,Live Up to My Name
Ed Sheeran ,Best Part of Me
Lil Baby ,Humble
Tee Grizzley ,In My Feelings
Grouplove ,Welcome To Your Life
Lil Peep ,Awful Things
The Chainsmokers ,Kills You Slowly
Lil Uzi Vert ,That's A Rack
Juice WRLD ,Lean Wit Me
Kacey Musgraves ,easier said
Wiz Khalifa ,Karate
Bad Bunny ,SI ELLA SALE
Taylor Swift ,"no body, no crime"
Nicki Minaj ,Do We Have A Problem?
Kendrick Lamar ,The Heart Part 4
Future ,Accepting My Flaws
Skylar Grey ,I Know You
Lil Wayne ,Can't Be Broken
Khalid ,Better
ODESZA ,Line Of Sight
Kelsea Ballerini ,the other girl
Turbo ,QUARANTINE CLEAN
KONGOS ,Come with Me Now
Luke Combs ,On the Other Line
Gunna ,how you did that
Nardo Wick ,Me or Sum
SiR ,Hair Down
Dean Lewis ,7 Minutes
Lil Wayne ,Piano Trap
BTS ,Inner Child
Justin Timberlake ,Mirrors
Shoreline Mafia ,Bands
Mac Miller ,Wedding
Ariana Grande ,7 rings
6LACK ,PRBLMS
6LACK ,Long Nights
$uicideboy$ ,All Dogs Go To Heaven
Zara Larsson ,Never Forget You
Camila Cabello ,Consequences  orchestra
Ricky Montgomery ,Line Without a Hook
Kevin Gates ,Change Lanes
Nat King Cole ,O Come All Ye Faithful
Halsey ,You should be sad
salem ilese ,Mad at Disney
Anderson .Paak ,Lockdown
Linkin Park ,Bleed It Out
Isaiah Rashad ,From The Garden
Future ,Neva Missa Lost
A Boogie Wit da Hoodie ,Bleed
Luke Combs ,Better Back When
XXXTENTACION ,"ALONE, PART 3"
The 1975 ,Medicine
BTS ,Dynamite  Instrumental
Summer Walker ,Stretch You Out
David Guetta ,Lovers on the Sun
Future ,Blood On the Money
Sarah Cothran ,As the World Caves In
Future ,Astronauts
Ziv Zaifman ,A Million Dreams
Rihanna ,Lift Me Up
Ski Mask The Slump God ,Save Me Pt 2
Yeah Yeah Yeahs ,Heads Will Roll  ATrak Remix Radio Edit
BANKS ,Better
Post Malone ,Otherside
Kid Cudi ,Releaser
Rihanna ,Don't Stop The Music
Offset ,North Star
A$AP Rocky ,Back Home
Drake ,Lose You
Lana Del Rey ,Beautiful People Beautiful Problems
The Weeknd ,Reminder  Remix
blink,182  EDGING
A$AP Rocky ,Canal St.
Lil Yachty ,Split/Whole Time
Gunna ,25k jacket
Kehlani ,Can I
Rod Wave ,Rockstar Heart
Astrid S ,Hurts So Good
Young Thug ,Digits
NAV ,Run It Up
MEDUZA ,Tell It To My Heart
Kygo ,Gone Are The Days
Drake ,Girls Love Beyoncé
A Thousand Horses ,Smoke
Machine Gun Kelly ,papercuts  album edit
Ariana Grande ,Break Your Heart Right Back
Panic! At The Disco ,Bohemian Rhapsody
Ludacris ,Rollout (My Business)
LANY ,Super Far
Ella Henderson ,Pieces
Travis Scott ,SICKO MODE
Madison Beer ,Hurts Like Hell
Twenty One Pilots ,The Hype
Harry Styles ,Cinema
Lil Baby ,Shiest Talk
Marshmello ,One Thing Right
Chris Brown ,Ayo
Luke Bryan ,Light It Up
Big Sean ,Body Language
R. City ,Make Up
NAV ,Ralo
Joey Bada$$ ,Paper Trail$
Trippie Redd ,Gore
Drake ,Hours In Silence
Hailee Steinfeld ,Most Girls
Suki Waterhouse ,Good Looking
Taylor Swift ,I Knew You Were Trouble (Taylor's Version)
Lil Nas X ,Panini
Kodak Black ,Tunnel Vision
Drake ,Get It Together
David Bowie ,Blackstar
Disney Characters ,This Is Halloween
Mystery Skulls ,Ghost
Rich The Kid ,World Is Yours
Lana Del Rey ,Cinnamon Girl
Katy Perry ,California Gurls
Beyoncé ,Forward
21 Savage ,Famous
"Tyler, The Creator ",IGOR'S THEME
Young Thug ,Family Don't Matter
Agust D ,Burn It
Big Sean ,Guard Your Heart
John Legend ,Love Me Now
Yo Gotti ,Down In the DM  Remix
Bing Crosby ,Mele Kalikimaka  Single Version
Nick Jonas ,Champagne Problems
Logic ,untitled
NF ,LAYERS
A$AP Rocky ,F**kin' Problems
Glass Animals ,Heat Waves
Mumford & Sons ,Wona
SiM ,The Rumbling
Miley Cyrus ,Rainbowland
Eminem ,Nice Guy
Pharrell Williams ,Entrepreneur
Logic ,Wassup
Steve Lacy ,Buttons
5 Seconds of Summer ,Jet Black Heart
Young Thug ,Check
Ariana Grande ,Beauty and the Beast
Lauv ,The Other
Young Greatness ,Moolah
Calvin Harris ,Dollar Signs
Pusha T ,Call My Bluff
BLACKPINK ,DDUDU DDUDU
Chance the Rapper ,Eternal
Bazzi ,I Don't Think I'm Okay
Jaden ,Breakfast
Rauw Alejandro ,PUNTO 40
Conan Gray ,Telepath
Eminem ,Rap God
XXXTENTACION ,Floor 555
Imagine Dragons ,Thunder
Eminem ,Good Guy
Tori Kelly ,Hollow
Olly Murs ,Kiss Me
Young Dolph ,100 Shots
Kanye West ,Gold Digger
B.B. King ,I Like To Live The Love  Single Version
Wiz Khalifa ,Most of Us
Rod Wave ,Already Won
Brett Eldredge ,Lose My Mind
Young Stoner Life ,Real
Imagine Dragons ,Roots
blink,182  Rabbit Hole
Charlie Puth ,I Warned Myself
Money Man ,24
Halsey ,Not Afraid Anymore
The Chainsmokers ,Riptide
Rihanna ,Umbrella
Drake ,Pop Style
The Weeknd ,Stargirl Interlude
The Beatles ,Love Me Do  Remastered 2009
"Tyler, The Creator ",Sometimes...
Beyoncé ,MOOD 4 EVA
Kid Ink ,Hotel
"Tyler, The Creator ",ARE WE STILL FRIENDS?
Ed Sheeran ,Shivers
Selena Gomez ,Cut You Off
Travis Scott ,NO BYSTANDERS
Migos ,White Sand
Lil Uzi Vert ,No Sleep Leak
Flo Rida ,Low
Frank Ocean ,Provider
Daddy Yankee ,Dura
Tyla Yaweh ,Stuntin' On You
The Chainsmokers ,Inside Out
Pitbull ,Drive You Crazy
Lil Uzi Vert ,Neon Guts
The Lumineers ,Gale Song
Troye Sivan ,IN A DREAM
Taylor Swift ,Fearless (Taylor’s Version)
Rex Orange County ,WORTH IT
Ski Mask The Slump God ,Intro
Mike WiLL Made,It  Aries (YuGo)
Kygo ,It Ain't Me
DJDS ,Why Don't You Come On
Bing Crosby ,Mele Kalikimaka (Merry Christmas)
Chris Brown ,New Flame
Young Thug ,Hot (Remix)
Wisin ,Escápate Conmigo
Cheat Codes ,Don't Say No
Bobby Shmurda ,Hot N*gga
Luke Combs ,South On Ya
Jonas Blue ,Fast Car
Gunna ,FEIGNING
Leslie Odom Jr. ,Wait for It
Lil Baby ,Live Off My Closet
Joji ,Pretty Boy
Thomas Rhett ,Grave
Ed Sheeran ,Shape of You
System Of A Down ,Protect The Land
Beyoncé ,BROWN SKIN GIRL
Kanye West ,Famous
Smiley ,Over The Top
Moneybagg Yo ,Shottas (Lala)
Michael Jackson ,P.Y.T. (Pretty Young Thing)
BANNERS ,Someone To You
Kelly Clarkson ,Love So Soft
DJ Khaled ,Don't Quit
Leona Lewis ,One More Sleep
Giveon ,Lie Again
Sublime ,What I Got
Avicii ,Broken Arrows
Logic ,Yuck
XXXTENTACION ,HEARTEATER
Pierce The Veil ,King For A Day
Bad Bunny ,MALDITA POBREZA
BENEE ,Supalonely
XXXTENTACION ,difference (interlude)
NAV ,Turks
Aaron Carter ,Sooner Or Later
Drake ,With You
Florida Georgia Line ,Long Live
PnB Rock ,Issues
Lil Baby ,Waterfall Flow
Drake ,Trust Issues
Miley Cyrus ,Bad Mood
Travis Scott ,COFFEE BEAN
Lukas Graham ,7 Years
Future ,Freak Hoe
Nick Jonas ,Levels
"Tyler, The Creator ",Glitter
Bo Burnham ,Bezos I
Ginuwine ,Pony  Single Version
Moneybagg Yo ,Free Promo
Kanye West ,Stronger
Andy Williams ,It's the Most Wonderful Time of the Year
Olivia Rodrigo ,drivers license
Lana Del Rey ,Bartender
Lana Del Rey ,Honeymoon
Milky Chance ,Stolen Dance
Chance the Rapper ,GRoCERIES
Dae Dae ,"Wat U Mean (Aye, Aye, Aye)"
Avicii ,For A Better Day
Future ,Draco
The Weeknd ,Where You Belong
Ast3p ,Close To Me
Lil Skies ,Fidget
Slipknot ,Critical Darling
Ed Sheeran ,Lego House
Chris Rea ,Driving Home for Christmas
Billie Eilish ,my strange addiction
Summer Walker ,Reciprocate
Ryan Adams ,Out of the Woods
Fetty Wap ,RGF Island
Russ ,What They Want
Joji ,Reanimator
Melanie Martinez ,The Principal
Disclosure ,Omen
David Bowie ,Moonage Daydream  2012 Remastered Version
NAV ,Brown Boy
Taylor Swift ,Enchanted
Linkin Park ,Sorry for Now
Taylor Swift ,Come In With The Rain (Taylor’s Version)
Fleetwood Mac ,The Chain  2004 Remaster
Lovejoy ,Concrete
Miranda Lambert ,Somethin' Bad  (Duet with Carrie Underwood)
Imagine Dragons ,Machine
Lil Tjay ,Ice Cold
Drake ,Do Not Disturb
Polo G ,Distraction
The Lumineers ,Gloria
Kygo ,Think About You
The Weeknd ,Losers
ZAYN ,Entertainer
Carpenters ,Merry Christmas Darling  Remix
Megan Thee Stallion ,Savage Remix
Lil Nas X ,THATS WHAT I WANT
Gucci Mane ,Back On Road
Ella Mai ,Whatchamacallit
PSY ,DADDY ft. CL of 2NE1
Robin Thicke ,Blurred Lines
City Girls ,Twerk
DaBaby ,SAD SH*T
21 Savage ,letter 2 my momma
The Lumineers ,BRIGHTSIDE
Lil Baby ,Out The Mud
Mabel ,Mad Love
Bo Burnham ,30
Louis Tomlinson ,Miss You
Ellie Goulding ,Still Falling For You
Migos ,Time For Me
Rod Wave ,Heart On Ice
Pierce The Veil ,Circles
Eminem ,Mockingbird
Trippie Redd ,They Afraid Of You
DJ Khaled ,EVERY CHANCE I GET
Alina Baraz ,Off the Grid
YoungBoy Never Broke Again ,Top Sound
Lil Peep ,U Said
Ski Mask The Slump God ,Foot Fungus
Big Sean ,Who's Stopping Me (& Metro Boomin)
Migos ,Malibu
Timeflies ,Stuck With Me
Kanye West ,Bound 2
The 1975 ,Tonight (I Wish I Was Your Boy)
Big Sean ,Loyal To A Fault
Meek Mill ,Championships
Baby Keem ,hooligan
Pop Smoke ,Mood Swings
Bruno Mars ,Smokin Out The Window
Summer Walker ,Ex For A Reason
Keala Settle ,This Is Me
Wham! ,Last Christmas
The Weeknd ,Dark Times
Madden ,Alive
Drake ,Time Flies
Bad Bunny ,Efecto
21 Savage ,Baby Girl
Lil Baby ,Medical
Jarryd James ,Do You Remember
Juice WRLD ,Used To
Charli XCX ,Beg For You
Charli XCX ,After the Afterparty
Alec Benjamin ,Must Have Been The Wind
Ariana Grande ,Bad To You
Logic ,Flexicution
Maggie Rogers ,Love You For A Long Time
Luke Combs ,Doin' This
Benny The Butcher ,Timeless
Gunna ,DO BETTER
DJ Khaled ,THIS IS MY YEAR
Tory Lanez ,Forever
John Mayer ,Why You No Love Me
Fetty Wap ,My Way
Charlie Puth ,Left and Right (Feat. Jung Kook of BTS)
Gunna ,Big Shot
Logic ,Confessions of a Dangerous Mind
Austin Mahone ,Dirty Work
Kesha ,Let 'Em Talk
Melanie Martinez ,Nurse's Office
Ty Dolla $ign ,Don't Sleep On Me
Juice WRLD ,Not Enough
$uicideboy$ ,Champagne Face
Lil Baby ,Everything
Avicii ,Hold The Line
Selena Gomez ,Baila Conmigo
Alan Walker ,On My Way
DaBaby ,CHAMPION
Eric Church ,Record Year
She & Him ,The Christmas Waltz
A$AP Rocky ,Praise The Lord (Da Shine)
NF ,JUST LIKE YOU
Owl City ,Verge
blink,182  Los Angeles
Vampire Weekend ,Bambina
The Script ,Superheroes
Lana Del Rey ,Freak
Lil Yachty ,Peek A Boo
Lauv ,Changes
ScHoolboy Q ,Man Of The Year
NAV ,Snap
CORPSE ,POLTERGEIST!
Jonas Brothers ,I Believe
BRS Kash ,Throat Baby (Go Baby)
Kali Uchis ,fue mejor
Bruno Mars ,Fly As Me
Jack Harlow ,Lil Secret
Travis Scott ,The Plan
Grupo Frontera ,No Se Va
Young Thug ,Stressed
YoungBoy Never Broke Again ,Toxic Punk
Eminem ,Kamikaze
The Low Down ,Just for the Night
Coldplay ,My Universe
Selena Gomez ,Dámelo To’
Florence + The Machine ,"How Big, How Blue, How Beautiful"
6ix9ine ,TIC TOC
Maroon 5 ,Harder To Breathe
Martin Garrix ,Forbidden Voices
Solange ,Dreams
Future ,Might as Well
Prince ,Kiss
Megan Thee Stallion ,Savage
Mac Miller ,Here We Go
TWICE ,I CAN'T STOP ME
The Killers ,Somebody Told Me
Gym Class Heroes ,Cupid's Chokehold / Breakfast in America
The Kid LAROI ,TRAGIC
Lil Baby ,"Never Recover (Lil Baby & Gunna, Drake)"
The Weeknd ,Scared To Live
Thomas Rhett ,Where We Started
Taylor Swift ,the last great american dynasty
Ed Sheeran ,Bad Habits
A Boogie Wit da Hoodie ,Savage
YoungBoy Never Broke Again ,Bring The Hook
blink,182  Kings of the Weekend
Beyoncé ,Sorry
Polo G ,No Matter What
Lil Skies ,Flooded
21 Savage ,Intro
The Chainsmokers ,Closer  Shaun Frank Remix
Lil Baby ,The Bigger Picture
Nicki Minaj ,Thought I Knew You
Kid Cudi ,Rockstar Knights
Luke Combs ,Moon Over Mexico
DaBaby ,INTRO
Huncho Jack ,Black & Chinese
Eminem ,Walk On Water
T.I. ,Ring
Tech N9ne ,Hood Go Crazy
Future ,She Never Been To Pluto
Twenty One Pilots ,We Don't Believe What's on TV
Chance the Rapper ,Lost
Nas ,White Label
Conan Gray ,Astronomy
Action Bronson ,Standing in the Rain
J. Cole ,G.O.M.D.  Live
Jessie Murph ,How Could You
Jack Harlow ,Parent Trap
Jon Pardi ,Night Shift
Tove Lo ,True Disaster
DJ Khaled ,Hold You Down
Lil Yachty ,SELF MADE
Lil Nas X ,Panini  DaBaby Remix
Trippie Redd ,A.L.L.T.Y. 3
Declan McKenna ,Brazil
Gunna ,south to west
benny blanco ,I Found You / Nilda’s Story
The Weeknd ,In The Night
Miley Cyrus ,WTF Do I Know
Wiz Khalifa ,King of Everything
The Killers ,Mr. Brightside
Trippie Redd ,Danny Phantom
NLE Choppa ,100 Shots
Logic ,Mos Definitely
The Beatles ,Can't Buy Me Love  Remastered 2009
Nicki Minaj ,Anaconda
Josh Turner ,Hometown Girl
Meek Mill ,Millidelphia
Justin Bieber ,Intentions
Fifth Harmony ,Write On Me
Big Sean ,Dark Sky (Skyscrapers)
Kanye West ,Highlights
Lil Tecca ,"Left, Right"
Snakehips ,Don't Leave
D'Angelo ,Back to the Future (Part II)
H.E.R. ,Could've Been
ThxSoMch ,SPIT IN MY FACE!
Lil Uzi Vert ,Celebration Station
$uicideboy$ ,Ugliest
Big Sean ,Jump Out The Window
Pharrell Williams ,Sangria Wine
Foster The People ,Pumped Up Kicks
Imagine Dragons ,Warriors
The Weeknd ,Gasoline
21 Savage ,Snitches & Rats
Earl Sweatshirt ,Old Friend
$uicideboy$ ,Matte Black
Machine Gun Kelly ,maybe
French Montana ,Figure it Out
Drake ,Plastic Bag
Zach Bryan ,Something in the Orange
BROCKHAMPTON ,SUGAR
BTS ,Butter
Lil Baby ,Commercial
Joji ,Daylight
Shawn Mendes ,Teach Me How To Love
Meek Mill ,Wit The Shits (W.T.S)
Kendrick Lamar ,Count Me Out
ZHU ,Dreams
ILLENIUM ,Feel Something (ILLENIUM & Excision with I Prevail)
Tame Impala ,Glimmer
NF ,Let Me Go
Maddie & Tae ,Girl In A Country Song
Lil Peep ,Benz Truck  гелик
Beck ,Blue Moon
Omar Apollo ,Evergreen
Lil Uzi Vert ,You Better Move
Polo G ,DND
DRAM ,Gilligan
Bebe Rexha ,Sacrifice
DJ Luian ,Verte Ir
Brent Faiyaz ,PRICE OF FAME
Bazzi ,Paradise
Nas ,Wrote My Way Out
Dan + Shay ,Good Things
Drake ,4pm in Calabasas
Weezer ,Take On Me
YoungBoy Never Broke Again ,Reaper's Child
Charlie Puth ,Hard On Yourself
OneRepublic ,Someday
George Michael ,Faith  Remastered
Baby Keem ,a life of pain
Twenty One Pilots ,Not Today
Mitski ,Washing Machine Heart
Luke Combs ,Nothing Like You
Starley ,Call On Me  Ryan Riback Remix
DaBaby ,iPHONE
Lil Uzi Vert ,Prices
Hailee Steinfeld ,Love Myself
Foo Fighters ,The Feast and The Famine
Blake Shelton ,Sangria
Flo Rida ,Once In A Lifetime
21 Savage ,1.5
Gwen Stefani ,Used To Love You
Young Dolph ,On the River
Doja Cat ,Vegas (From the Original Motion Picture Soundtrack ELVIS)
Future ,WAIT FOR U
YoungBoy Never Broke Again ,Hot Now
Lil Baby ,Woah
SZA ,Doves In The Wind
Skrillex ,Don’t Go
Carolina Gaitán ,La Gaita  We Don't Talk About Bruno
Miley Cyrus ,Midnight Sky
TWENTY88 ,Déjà vu
Lil Wayne ,Glory
Megan Thee Stallion ,Outside
Lil Mosey ,Try Me
Offset ,CODE
Polo G ,Relentless
Robert DeLong ,Long Way Down
NextYoungin ,3 Musketeers
French Montana ,Slide
